연도,전담기관,공고명,공고일,상태
2022,한국산업기술기획평가원,2022년도 산업기술혁신사업 통합 시행계획 공고,2021-12-28,접수마감
2022,한국산업기술기획평가원,2022년도 우수기업연구소육성사업(ATC+) 신규지원 공고,2022-01-07,접수마감
2022,한국산업기술기획평가원,2022년도 탄소혁신 스타즈 프로젝트 신규지원 대상과제 공고,2022-01-13,접수마감
2022,한국산업기술기획평가원,2022년 자율주행기술개발혁신사업 신규지원 대상과제 공고,2022-01-14,접수마감
2022,한국산업기술기획평가원,2022년도 산업기술 알키미스트 프로젝트 신규지원 대상 연구개발과제 공고,2022-01-14,접수마감
2022,한국산업기술기획평가원,2022년도 제1차 바이오헬스 연구개발사업 신규지원 대상과제 공고,2022-01-17,접수마감
2022,한국산업기술기획평가원,2022년도 사회복합재난 대응기술 개발사업 신규과제 공모,2022-01-18,접수마감
2022,한국산업기술기획평가원,2022년도 시험인증산업 현황 파악 및 기초인력 양성 신규지원 대상과제 공고,2022-01-18,접수마감
2022,한국산업기술기획평가원,2022년도 재난 위험 감지 및 모니터링 기술개발 신규과제 공모,2022-01-18,접수마감
2022,한국산업기술기획평가원,2022년도 지역맞춤형 재난안전 문제해결 기술개발 지원 신규과제 공모,2022-01-18,접수마감
2022,한국산업기술기획평가원,2022년도 제1차 기계로봇장비 분야 산업기술개발사업 신규지원 대상과제 통합 공고,2022-01-19,접수마감
2022,한국산업기술기획평가원,2022년도 지식서비스산업기술개발사업 신규지원 대상 연구개발과제 공고,2022-01-24,접수마감
2022,한국산업기술기획평가원,2022년도 ESS·수소시설 화재 안전기술 연구개발사업 신규과제 공모,2022-01-25,접수마감
2022,한국산업기술기획평가원,2022년도 재난현장 긴급대응 기술개발사업 신규과제 공모,2022-01-25,접수마감
2022,한국산업기술기획평가원,2022년 디자인산업기술개발사업 신규지원 대상 연구개발과제 공고,2022-01-26,접수마감
2022,한국산업기술기획평가원,2022년도 조선해양 분야 신규지원 대상과제 공고,2022-01-26,접수마감
2022,한국산업기술기획평가원,2022년도 자동차 분야 신규지원 대상 과제 통합 공고,2022-01-27,접수마감
2022,한국산업기술기획평가원,2022년도 자동차 분야 신규지원 대상과제 통합 재공고,2022-01-27,접수마감
2022,한국산업기술기획평가원,2022년도 글로벌주력산업품질대응뿌리기술개발사업  신규지원 대상과제 공고,2022-01-28,접수마감
2022,한국산업기술기획평가원,2022년도 융복합신기술제품안전기술지원사업 신규지원 대상 연구개발과제 공고,2022-01-28,접수마감
2022,한국산업기술기획평가원,"2022년도 전자부품분야(반도체, 디스플레이, 산업융합) 신규지원 대상 연구개발과제 공고",2022-01-28,접수마감
2022,한국산업기술기획평가원,2022년도 소재부품기술개발사업 신규지원 대상 연구개발과제 공고,2022-02-04,접수마감
2022,한국산업기술기획평가원,2022년도 제2차 바이오헬스 연구개발사업 신규지원 대상과제 공고,2022-02-07,접수마감
2022,한국산업기술기획평가원,2022년도 나노제품 성능·안전 평가기술개발 및 기업지원사업 신규지원 대상과제 공고,2022-02-10,접수마감
2022,한국산업기술기획평가원,22년 상용표준물질개발보급사업 신규사업 공고,2022-02-15,접수마감
2022,한국산업기술기획평가원,2022년도 국방무인기 초내열 엔진소재 개발사업  신규지원 대상 연구개발과제 공고,2022-02-16,접수마감
2022,한국산업기술기획평가원,2022년도 산업데이터표준화및인증지원사업 신규지원 대상과제 공고,2022-02-22,접수마감
2022,한국산업기술기획평가원,2022년도 제1차 국가표준기술력향상사업 신규지원 대상과제 공고,2022-02-23,접수마감
2022,한국산업기술기획평가원,2022년도 나노융합혁신제품기술개발사업 신규지원 대상 연구개발과제 공고,2022-02-24,접수마감
2022,한국산업기술기획평가원,2022년도 제1차 기계로봇장비 분야 산업기술개발사업 신규지원 대상과제 재공고,2022-02-24,접수마감
2022,한국산업기술기획평가원,2022년도 재난 위험 감지 및 모니터링 기술개발 신규과제 재공모,2022-02-25,접수마감
2022,한국산업기술기획평가원,2022년도 지역맞춤형 재난안전 문제해결 기술개발 지원 신규과제 재공모,2022-02-25,접수마감
2022,한국산업기술기획평가원,2022년도 탄소산업기반조성[반도체·이차전지 부품용 인조흑연 테스트베드 구축]신규지원 대상과제 공고,2022-03-03,접수마감
2022,한국산업기술기획평가원,2022년도 어린이제품안전성평가역량강화사업 신규지원 대상 과제 공고 ,2022-03-04,접수마감
